timestamp(ms),GPS[0].Lat,GPS[0].Lng,GPS[0].Alt,GPS[0].Spd,GPS[0].VZ,GPS[0].Yaw,IMU[0].GyrX,IMU[0].GyrY,IMU[0].GyrZ,IMU[0].AccX,IMU[0].AccY,IMU[0].AccZ,ORGN[0].Lat,ORGN[0].Lng,ORGN[0].Alt,XKF1[0].PN,XKF1[0].PE,XKF1[0].PD,XKF1[0].VN,XKF1[0].VE,XKF1[0].VD,XKF1[0].Roll,XKF1[0].Pitch,XKF1[0].Yaw,XKF1[0].GX,XKF1[0].GY,XKF1[0].GZ
550109.967,411007562,290243507,95.07,1.228000045,1.097000003,0,-0.14419122,0.013642765,-0.03335622,0.901661098,-0.75852263,-9.695134163,NaN,NaN,NaN,9.248040199,-7.590500832,-21.46920776,-0.43873319,1.172318101,1.233808756,6.42,6.41,0.74,0,0.01,0
550209.967,411007562,290243507,95.07,1.228000045,1.097000003,0,-0.157023787,0.017034383,0.026812172,0.500175655,-0.336369157,-9.578606606,NaN,NaN,NaN,9.200003624,-7.470929146,-21.3701725,-0.48374173,1.23679626,1.213383794,5.64,6.49,0.82,0,0.01,0
550309.967,411007553,290243536,94.82,1.450000048,1.141000032,0,-0.060563419,-0.009783059,0.055255909,0.6875723,-0.502227128,-9.54668808,NaN,NaN,NaN,9.150559425,-7.345108509,-21.27031517,-0.507489324,1.306757569,1.235947371,5.61,6.3,1.04,0,0.01,0
550409.967,411007553,290243536,94.82,1.450000048,1.141000032,0,0.089088351,-0.05295983,0.024570266,0.624871731,-0.569097757,-9.322782516,NaN,NaN,NaN,9.096855164,-7.210697651,-21.16800499,-0.522114813,1.363717675,1.273406148,5.98,5.84,1.3,0,0.01,0
550509.967,411007543,290243568,94.59,1.41900003,1.237000108,0,-0.141151503,-0.058026709,0.039755221,0.695740342,-0.324123561,-9.446549416,NaN,NaN,NaN,9.038805008,-7.066944122,-21.05680466,-0.535578847,1.408380866,1.332626581,5.64,5.55,1.75,0,0.01,0
550609.967,411007543,290243568,94.59,1.41900003,1.237000108,0,-0.216121987,-0.048689555,0.107112981,0.712188423,-0.521536648,-9.526920319,NaN,NaN,NaN,8.977819443,-6.916043282,-20.94303131,-0.571358919,1.47451067,1.3452667,4.62,5.39,2.22,0,0.01,0
550709.967,411007533,290243602,94.31,1.561000109,1.360000014,0,-0.073651299,-0.043785486,0.106156826,0.509567976,-0.422996491,-9.303043365,NaN,NaN,NaN,8.917771339,-6.769034863,-20.82884979,-0.57941252,1.515858054,1.406164527,4.49,5.15,2.7,0,0.01,0
550809.967,411007533,290243602,94.31,1.561000109,1.360000014,0,0.06124752,-0.057783142,0.089158125,0.94469589,-0.836320221,-9.102147102,NaN,NaN,NaN,8.857151985,-6.612877846,-20.70996475,-0.594582498,1.562083483,1.41718173,4.87,4.56,3.21,0,0.01,0
550909.967,411007522,290243639,94.01,1.746000051,1.501000047,0,0.023515886,-0.07466644,0.091304965,0.732450306,-0.401625842,-9.391892433,NaN,NaN,NaN,8.800714493,-6.453557968,-20.58770752,-0.566232443,1.606194019,1.478875279,5.34,4.05,3.67,0,0.01,0
551009.967,411007522,290243639,94.01,1.746000051,1.501000047,0,0.042705577,0.11222966,0.049302097,0.707513154,-0.442854464,-9.498438835,NaN,NaN,NaN,8.741540909,-6.284088612,-20.4622879,-0.575238287,1.652013779,1.481387734,5.52,4.41,4.05,0,0.01,0
